ID,Company Id,Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares
G4831,G006,LCTU,BLACKROCK ETF TRUST,CMN,09290C509,557,0,13142
G4725,G006,IEUS,ISHARES TR,CMN,464288497,649,0,13151
G5427,G006,NA-232,PROJECT ENERGY REIMAGINED AC,CMN,G72556106,132,0,13168
G5809,G006,SDIG,STRONGHOLD DIGITAL MINING IN,CMN,86337R103,6,0,13184
G4746,G006,CCB,COASTAL FINL CORP WA,CMN,19046P209,627,0,13202
G5386,G006,IE,IVANHOE ELECTRIC INC,CMN,46578C108,160,0,13222
G4835,G006,EPS,WISDOMTREE TR,CMN,97717W588,552,0,13299
G3015,G006,COST,COSTCO WHSL CORP NEW,CMN,22160K105,6071,0,13300
G5525,G006,EAD,ALLSPRING INCOME OPPORTUNIT,CMN,94987B105,84,0,13300
G3608,G006,STZ,CONSTELLATION BRANDS INC,CMN,21036P108,3082,0,13300
G5462,G006,UFI,UNIFI INC,CMN,904677200,114,0,13313
G4817,G006,PXI,INVESCO EXCHANGE TRADED FD T,CMN,46137V878,576,0,13330
G5762,G006,CTXR,CITIUS PHARMACEUTICALS INC,CMN,17322U207,10,0,13340
G5699,G006,ELVT,ELEVATE CREDIT INC,CMN,28621V101,23,0,13380
G5496,G006,UBFO,UNITED SEC BANCSHARES CALIF,CMN,911460103,97,0,13397
G5548,G006,QS,QUANTUMSCAPE CORP,CMN,74767V109,75,0,13400
G5434,G006,PRPH,PROPHASE LABS INC,CMN,74345W108,129,0,13430
G4217,G006,PWC,INVESCO EXCHANGE TRADED FD T,CMN,46137V712,1396,0,13438
G5491,G006,SRTS,SENSUS HEALTHCARE INC,CMN,81728J109,99,0,13454
